sex,mass,pronotum
m,8.471,10.44
f,21.468,11.91
m,8.344,10.7
f,17.996,11.9
f,17.905,12.64
f,21.255,12.69
f,16.168,12.76
f,22.14,12.49
f,21.813,12.45
m,8.723,10.99
m,9.575,11.2
f,22.009,12.88
f,21.104,12.65
f,15.248,11.64
f,19.271,12.87
f,24.781,13.35
f,20.978,12.15
m,9.993,11.73
f,20.561,12.81
m,10.168,10.74
f,23.422,13.01
m,8.363,10.64
m,8.549,10.93
f,23.006,13.06
f,21.334,13.41
m,7.288,9.71
m,8.181,10.98
f,21.57,12.46
f,27.51,13.55
m,8.623,11.35
m,8.433,10.98
f,19.522,13.38
f,13.214,11.34
f,17.679,11.92
m,10.304,11.57
m,9.592,11.54
